138	27734	12
1913	28984	16
46241	18115	25
11301	9519	7
101	19447	14
1	12728	27
15113	18301	18
144	10700	9
2969	5840	25
1938	29336	14
7199	27032	19
104	1187	13
17115	14323	6
3940	2634	2
50066	4889	17
14	17838	29
12	23525	17
365	26025	23
188	13409	3
135	16512	0
6412	15216	1
209	18912	20
115	23147	21
132	391	15
311	5005	15
1219	8964	11
101	17887	9
4456	20993	32
101	22716	6
3896	4201	36
57713	19283	6
43736	4537	13
690	2163	3
318	26550	9
325	23753	33
106	2854	2
3508	25730	7
7757	9845	25
869	26879	5
101	3017	12
3932	15937	10
71814	8355	13
35444	50	2
194	1584	1
3601	16295	5
12	6393	15
4169	16166	13
4215	15799	6
182	18233	2
5129	10081	1
696	11659	27
562	4894	11
1230	26738	20
500	10767	12
141	24629	2
37941	2525	5
432	11546	2
116	9185	13
28	3568	1
14	13967	41
8	11295	9
105	15802	18
119	2992	7
1241	680	6
155	13117	23
518	9151	2
296	3675	9
5236	14396	17
1407	2170	4
51358	18392	4
277	23920	16
130	2223	8
2492	14514	28
2728	9172	2
181	9723	11
18088	19557	2
132	19451	2
45406	18680	8
21	18175	21
109	1226	21
11465	21241	7
1952	14914	4
1592	19862	8
26825	24460	4
390	26253	24
3712	1912	11
102	21507	25
2112	9234	13
122	4841	24
5852	24957	7
3085	26547	12
108	17400	37
12811	2015	8
632	13319	25
79237	27874	12
6304	12412	25
109	26109	26
107	6980	29
12	29003	15
12604	29592	4
313	16043	11
82842	6509	22
1784	8105	7
104	2698	30
188	10470	4
101	29687	4
234	24312	14
14021	4940	20
57	18139	32
2083	12504	20
106	13871	10
14152	17050	33
71920	3001	25
101	26970	9
105	15903	12
7419	18782	9
101	6724	16
6448	26659	0
40410	482	8
71242	22042	20
10793	21446	8
14	3760	14
512	11377	13
11632	28071	2
48420	25661	22
28	23840	21
5280	10784	12
106	20469	10
220	23209	6
11245	28154	18
17	14820	5
917	1908	15
1443	3531	16
820	16128	13
303	28377	2
28	1744	16
210	28875	0
28	7293	29
140	26700	4
226	12563	16
76699	19171	6
16322	18123	9
14	12453	35
1900	13975	16
23502	1368	13
7445	13240	13
11427	3288	24
3195	23460	7
675	26927	20
9207	19541	8
646	14646	2
326	17045	7
8706	5857	5
101	5354	1
12	2869	5
436	9249	2
598	13308	23
1719	9911	5
2607	22746	3
21646	3044	7
11445	4867	15
76154	28810	7
463	25448	7
11403	19421	26
28	26797	6
106	23542	22
14	9822	18
821	27775	24
173	25037	18
30913	25479	23
2871	25885	18
101	111	11
2693	7329	8
1336	11510	30
1556	20114	31
135	15891	0
159	3816	14
155	21826	12
5746	22737	12
330	4313	0
58428	10780	17
27438	29562	10
363	6045	4
872	9343	12
14	9369	18
118	26869	1
56768	8052	11
5737	6548	8
115	5370	18
3543	10151	3
651	20358	3
189	17034	17
268	7923	0
58	20395	32
151	29394	22
210	29196	0
101	30042	12
1306	19259	6
140	23177	3
690	8795	11
174	26416	2
2232	7178	4
7039	12912	0
39941	22650	2
836	536	2
456	29599	9
2687	5587	8
2990	15890	17
5877	27341	0
120	23914	1
314	18954	4
296	19493	9
134	2247	4
135	7225	5
9231	18739	6
196	6092	9
5971	7661	1
553	28918	8
4148	4648	10
14	10045	24
314	23624	14
3267	21446	30
79024	25489	19
134	16139	1
270	19135	10
14797	20527	26
102	17094	17
109	5156	3
173	23619	24
454	2738	11
3886	17200	4
6080	6407	11
245	26850	8
104	5323	13
102	63	19
169	2257	3
2325	15635	7
5557	24307	5
3083	29200	7
390	4927	29
5610	14536	28
413	13805	1
165	26712	3
11278	28061	1
12	26913	2
3130	7974	18
270	4878	25
1450	2504	0
208	18559	23
125	18300	9
7004	3655	2
1320	19918	9
156	14708	19
2700	19719	5
83952	3542	17
19206	2262	10
12	8694	21
8223	12385	1
101	4046	10
7261	12995	20
448	19982	13
3064	732	2
225	30119	9
52417	19249	5
150	14322	7
1358	1231	35
101	16516	40
57928	15150	2
197	5041	16
121	9745	4
3280	6557	19
105	24224	17
201	29942	18
18618	15338	12
52961	6738	1
102	25506	18
350	3677	3
1568	19701	7
392	9903	0
22363	24292	30
68301	18485	5
2326	1126	2
230	22493	20
7382	5613	22
10999	11098	4
613	18583	1
28162	9962	21
5657	4675	33
104	611	11
195	22751	3
40376	11748	6
15017	30024	8
28	10808	30
369	1769	19
159	17534	15
70094	18377	15
101	20564	7
4678	9551	4
1448	17139	9
137	13963	1
438	8289	8
485	25322	16
265	13812	0
594	14304	8
31698	7186	13
882	24348	5
335	28473	34
1151	1568	0
276	6359	3
14	8016	28
1003	2134	5
107	27091	2
601	12837	9
922	13912	20
58820	25516	21
992	22543	33
12	18190	12
63724	4029	22
